ผลคะแนนการเลือกตั้งสมาชิกสภาผู้แทนราษฎร แบบแบ่งเขตเลือกตั้ง เมื่อวันที่ 24 มีนาคม 2562,,,,,
จำแนกตามเขตเลือกตั้ง,,,,,
,,,,,
จังหวัด,เขต,หมายเลข,ชื่อผู้สมัคร,พรรค,ผลคะแนน
กรุงเทพมหานคร,1,14,นางสาวกานต์กนิษฐ์  แห้วสันตติ,พลังประชารัฐ,"23,246"
,,11,นางสาวนพมาศ  การุญ,อนาคตใหม่,"18,091"
,,9,นางสาวลีลาวดี  วัชโรบล,เพื่อไทย,"15,904"
,,3,นางเจิมมาศ  จึงเลิศศิริ,ประชาธิปัตย์,"14,348"
,,21,นายมงคล  เสมอภาพ,เศรษฐกิจใหม่,"4,522"
,,17,ร้อยเอก วัชราภรณ์  สังวรโยธิน,เสรีรวมไทย,"1,687"
,,13,นายทวีพร  อนุตรพงษ์สกุล,ภูมิใจไทย,806
,,7,นายเตช  เตชะพัฒน์สิริ,รวมพลังประชาชาติไทย,547
,,2,นายธเนษฐ  เศรษฐาวาณิช,พลังท้องถิ่นไท,426
,,12,นายกอบชัย  ชยามฤต,รักษ์ผืนป่าประเทศไทย,301
,,5,นางดรัณภัทร  วิชชาวุธ,ประชาชนปฏิรูป,268
,,1,นางสาวณัฐปภัสร์  วรธันย์ผาสุข,ไทยศรีวิไลย์,223
,,4,นายกรีณรงค์  ชาตรี,ชาติไทยพัฒนา,212
,,10,นายณัฏฐ์พงษ์  ยงใจยุทธ,เพื่อชาติ,168
,,6,นายรวิโชติ  ธำรงนาวาสวัสดิ์,ประชาชาติ,91
,,20,นายณัฐพล  หวังชูเชิดกุล,ภราดรภาพ,62
,,15,นายธนชาต  เมฆวันวรา,ประชาภิวัฒน์,54
,,19,นายเรียบ  ประทุมฝาง,ถิ่นกาขาวชาววิไล,36
,,23,จ่าเอก พิพัฒน์  วงษ์ฤทธิ์,แผ่นดินธรรม,34
,,16,นายวิเชียร  โมไนยกุล,เพื่อแผ่นดิน,33
,,24,นายหฤษฎ์  หนูเอี่ยม,พลังชาติไทย,27
,,26,นางสาวพัทธ์ฐิชา  ณิชยรวีพัชร์,มหาชน,25
,,30,นายภฤศ  วัฒนธาดากุล,ไทรักธรรม,25
,,25,นายพงศ์ชิษณุ  พีรดาจิราวัฒน์,ครูไทยเพื่อประชาชน,24
,,18,นางสาววิสุดา  จงสกุลชัย,ประชานิยม,23
,,28,นางสาวหนึ่งฤทัย  หัสดิน,ประชาธรรมไทย,21
,,29,นางอรุณรัตน์  ศิลปธรรมธาดา,ภาคีเครือข่ายไทย,20
,,22,นางวัลลี  แอสุวรรณ์,มติประชา,18
,,27,นางสาวกันญภัทร  นครังสุ,พลังศรัทธา,15
,2,2,นางสาวพัชรินทร์  ซำศิริพงษ์,พลังประชารัฐ,"26,909"
